powershell,2024-08-07 15:27:00.275236,2024-08-07 15:27:02.619116
DCv2,2024-08-07 15:27:00.275236,2024-08-07 15:27:35.372582
FileCoAuth,2024-08-07 15:50:05.486225,2024-08-07 15:50:07.935933
powershell,2024-08-07 15:50:41.632625,2024-08-07 15:50:43.883553
mspaint,2024-08-07 15:50:41.632625,2024-08-07 15:51:16.357480
powershell,2024-08-07 15:52:55.150214,2024-08-07 15:52:57.435943
ai,2024-08-07 15:54:46.269780,2024-08-07 15:55:21.265150
ai,2024-08-07 15:56:38.654592,2024-08-07 15:57:14.327212
ApplicationFrameHost,2024-08-07 15:56:38.654592,2024-08-07 15:57:14.327212
EXCEL,2024-08-07 15:56:38.654592,2024-08-07 15:57:14.327212
Microsoft.Media.Player,2024-08-07 15:56:38.654592,2024-08-07 15:57:14.327212
notepad++,2024-08-07 15:56:38.654592,2024-08-07 15:57:14.327212
OpenConsole,2024-08-07 15:56:38.654592,2024-08-07 15:57:14.327212
POWERPNT,2024-08-07 15:56:38.654592,2024-08-07 15:57:14.327212
powershell,2024-08-07 15:56:38.654592,2024-08-07 15:57:14.327212
WindowsTerminal,2024-08-07 15:56:38.654592,2024-08-07 15:57:14.327212
WINWORD,2024-08-07 15:56:38.654592,2024-08-07 15:57:14.327212
